2026-09-22T19:01:10 remz-dev-20260921-horde-performance BOOT exe=C:/Users/miche/Desktop/Godot.exe
2026-09-22T19:01:10 remz-dev-20260921-horde-performance NETWORK_INITIALIZED
2026-09-22T19:01:33 remz-dev-20260921-horde-performance MAP_READY
2026-09-22T19:01:34 remz-dev-20260921-horde-performance JOIN_BEGIN address=127.0.0.1 port=24687
2026-09-22T19:01:34 remz-dev-20260921-horde-performance JOIN_SOCKET result=0
2026-09-22T19:01:34 remz-dev-20260921-horde-performance TRANSPORT_CONNECTED sending_hello
2026-09-22T19:01:34 remz-dev-20260921-horde-performance PEER_CONNECTED id=1
2026-09-22T19:01:34 remz-dev-20260921-horde-performance PEER_CONNECTED id=142886714
2026-09-22T19:01:34 remz-dev-20260921-horde-performance PEER_CONNECTED id=1372589566
2026-09-22T19:01:34 remz-dev-20260921-horde-performance WELCOME
2026-09-22T19:01:34 remz-dev-20260921-horde-performance INITIAL_RECEIVE parts=5
2026-09-22T19:01:34 remz-dev-20260921-horde-performance INITIAL_APPLY_BEGIN
2026-09-22T19:01:34 remz-dev-20260921-horde-performance STATE_STAGE structures
2026-09-22T19:01:34 remz-dev-20260921-horde-performance STATE_STAGE players
2026-09-22T19:01:34 remz-dev-20260921-horde-performance STATE_STAGE enemies
2026-09-22T19:01:34 remz-dev-20260921-horde-performance STATE_STAGE items
2026-09-22T19:01:34 remz-dev-20260921-horde-performance STATE_STAGE barricades
2026-09-22T19:01:34 remz-dev-20260921-horde-performance INITIAL_APPLY_DONE
2026-09-22T19:01:34 remz-dev-20260921-horde-performance STATE_RECEIVE parts=5
2026-09-22T19:01:34 remz-dev-20260921-horde-performance STATE_STAGE structures
2026-09-22T19:01:34 remz-dev-20260921-horde-performance STATE_STAGE players
2026-09-22T19:01:34 remz-dev-20260921-horde-performance STATE_STAGE enemies
2026-09-22T19:01:34 remz-dev-20260921-horde-performance STATE_STAGE items
2026-09-22T19:01:34 remz-dev-20260921-horde-performance STATE_STAGE barricades
2026-09-22T19:01:34 remz-dev-20260921-horde-performance STATE_APPLY_DONE sequence=4
2026-09-22T19:01:34 remz-dev-20260921-horde-performance ROUND_BEGIN intro=false
2026-09-22T19:01:34 remz-dev-20260921-horde-performance ROUND_RUNNING players=4
2026-09-22T19:01:46 remz-dev-20260921-horde-performance STATE_STAGE structures
2026-09-22T19:01:46 remz-dev-20260921-horde-performance STATE_STAGE players
2026-09-22T19:01:46 remz-dev-20260921-horde-performance STATE_STAGE enemies
2026-09-22T19:01:46 remz-dev-20260921-horde-performance STATE_STAGE items
2026-09-22T19:01:46 remz-dev-20260921-horde-performance STATE_STAGE barricades
2026-09-22T19:01:52 remz-dev-20260921-horde-performance STATE_STAGE structures
2026-09-22T19:01:52 remz-dev-20260921-horde-performance STATE_STAGE players
2026-09-22T19:01:52 remz-dev-20260921-horde-performance STATE_STAGE enemies
2026-09-22T19:01:52 remz-dev-20260921-horde-performance STATE_STAGE items
2026-09-22T19:01:52 remz-dev-20260921-horde-performance STATE_STAGE barricades
2026-09-22T19:01:58 remz-dev-20260921-horde-performance STATE_STAGE structures
2026-09-22T19:01:58 remz-dev-20260921-horde-performance STATE_STAGE players
2026-09-22T19:01:58 remz-dev-20260921-horde-performance STATE_STAGE enemies
2026-09-22T19:01:58 remz-dev-20260921-horde-performance STATE_STAGE items
2026-09-22T19:01:58 remz-dev-20260921-horde-performance STATE_STAGE barricades
2026-09-22T19:02:00 remz-dev-20260921-horde-performance STATE_STAGE structures
2026-09-22T19:02:00 remz-dev-20260921-horde-performance STATE_STAGE players
2026-09-22T19:02:00 remz-dev-20260921-horde-performance STATE_STAGE enemies
2026-09-22T19:02:00 remz-dev-20260921-horde-performance STATE_STAGE items
2026-09-22T19:02:00 remz-dev-20260921-horde-performance STATE_STAGE barricades
2026-09-22T19:02:01 remz-dev-20260921-horde-performance STATE_STAGE structures
2026-09-22T19:02:01 remz-dev-20260921-horde-performance STATE_STAGE players
2026-09-22T19:02:01 remz-dev-20260921-horde-performance STATE_STAGE enemies
2026-09-22T19:02:01 remz-dev-20260921-horde-performance STATE_STAGE items
2026-09-22T19:02:01 remz-dev-20260921-horde-performance STATE_STAGE barricades
2026-09-22T19:02:12 remz-dev-20260921-horde-performance STATE_STAGE structures
2026-09-22T19:02:12 remz-dev-20260921-horde-performance STATE_STAGE players
2026-09-22T19:02:12 remz-dev-20260921-horde-performance STATE_STAGE enemies
2026-09-22T19:02:12 remz-dev-20260921-horde-performance STATE_STAGE items
2026-09-22T19:02:12 remz-dev-20260921-horde-performance STATE_STAGE barricades
2026-09-22T19:02:14 remz-dev-20260921-horde-performance STATE_STAGE structures
2026-09-22T19:02:14 remz-dev-20260921-horde-performance STATE_STAGE players
2026-09-22T19:02:14 remz-dev-20260921-horde-performance STATE_STAGE enemies
2026-09-22T19:02:14 remz-dev-20260921-horde-performance STATE_STAGE items
2026-09-22T19:02:14 remz-dev-20260921-horde-performance STATE_STAGE barricades
2026-09-22T19:02:19 remz-dev-20260921-horde-performance STATE_STAGE structures
2026-09-22T19:02:19 remz-dev-20260921-horde-performance STATE_STAGE players
2026-09-22T19:02:19 remz-dev-20260921-horde-performance STATE_STAGE enemies
2026-09-22T19:02:19 remz-dev-20260921-horde-performance STATE_STAGE items
2026-09-22T19:02:19 remz-dev-20260921-horde-performance STATE_STAGE barricades
2026-09-22T19:02:37 remz-dev-20260921-horde-performance PEER_DISCONNECTED id=1372589566
2026-09-22T19:02:58 remz-dev-20260921-horde-performance PEER_CONNECTED id=289217822
