2026-09-20T21:11:43 remz-coop-startfix-20260920 BOOT exe=C:/Users/miche/Desktop/Godot.exe
2026-09-20T21:11:43 remz-coop-startfix-20260920 NETWORK_INITIALIZED
2026-09-20T21:12:05 remz-coop-startfix-20260920 MAP_READY
2026-09-20T21:12:05 remz-coop-startfix-20260920 JOIN_BEGIN address=127.0.0.1 port=24733
2026-09-20T21:12:05 remz-coop-startfix-20260920 JOIN_SOCKET result=0
2026-09-20T21:12:05 remz-coop-startfix-20260920 TRANSPORT_CONNECTED sending_hello
2026-09-20T21:12:05 remz-coop-startfix-20260920 PEER_CONNECTED id=1
2026-09-20T21:12:05 remz-coop-startfix-20260920 WELCOME
2026-09-20T21:12:05 remz-coop-startfix-20260920 PEER_CONNECTED id=1574146835
2026-09-20T21:12:05 remz-coop-startfix-20260920 PEER_CONNECTED id=1302926532
2026-09-20T21:12:05 remz-coop-startfix-20260920 INITIAL_RECEIVE parts=4
2026-09-20T21:12:05 remz-coop-startfix-20260920 INITIAL_APPLY_BEGIN
2026-09-20T21:12:05 remz-coop-startfix-20260920 STATE_STAGE structures
2026-09-20T21:12:05 remz-coop-startfix-20260920 STATE_STAGE players
2026-09-20T21:12:05 remz-coop-startfix-20260920 STATE_STAGE enemies
2026-09-20T21:12:05 remz-coop-startfix-20260920 STATE_STAGE items
2026-09-20T21:12:05 remz-coop-startfix-20260920 STATE_STAGE barricades
2026-09-20T21:12:05 remz-coop-startfix-20260920 INITIAL_APPLY_DONE
2026-09-20T21:12:05 remz-coop-startfix-20260920 STATE_RECEIVE parts=4
2026-09-20T21:12:05 remz-coop-startfix-20260920 STATE_STAGE structures
2026-09-20T21:12:05 remz-coop-startfix-20260920 STATE_STAGE players
2026-09-20T21:12:05 remz-coop-startfix-20260920 STATE_STAGE enemies
2026-09-20T21:12:05 remz-coop-startfix-20260920 STATE_STAGE items
2026-09-20T21:12:05 remz-coop-startfix-20260920 STATE_STAGE barricades
2026-09-20T21:12:05 remz-coop-startfix-20260920 STATE_APPLY_DONE sequence=4
2026-09-20T21:12:05 remz-coop-startfix-20260920 ROUND_BEGIN intro=true
2026-09-20T21:12:05 remz-coop-startfix-20260920 ROUND_RUNNING players=4
2026-09-20T21:12:20 remz-coop-startfix-20260920 STATE_STAGE structures
2026-09-20T21:12:20 remz-coop-startfix-20260920 STATE_STAGE players
2026-09-20T21:12:20 remz-coop-startfix-20260920 STATE_STAGE enemies
2026-09-20T21:12:20 remz-coop-startfix-20260920 STATE_STAGE items
2026-09-20T21:12:20 remz-coop-startfix-20260920 STATE_STAGE barricades
2026-09-20T21:12:34 remz-coop-startfix-20260920 STATE_STAGE structures
2026-09-20T21:12:34 remz-coop-startfix-20260920 STATE_STAGE players
2026-09-20T21:12:34 remz-coop-startfix-20260920 STATE_STAGE enemies
2026-09-20T21:12:34 remz-coop-startfix-20260920 STATE_STAGE items
2026-09-20T21:12:34 remz-coop-startfix-20260920 STATE_STAGE barricades
2026-09-20T21:12:44 remz-coop-startfix-20260920 STATE_STAGE structures
2026-09-20T21:12:44 remz-coop-startfix-20260920 STATE_STAGE players
2026-09-20T21:12:44 remz-coop-startfix-20260920 STATE_STAGE enemies
2026-09-20T21:12:44 remz-coop-startfix-20260920 STATE_STAGE items
2026-09-20T21:12:44 remz-coop-startfix-20260920 STATE_STAGE barricades
2026-09-20T21:12:50 remz-coop-startfix-20260920 STATE_STAGE structures
2026-09-20T21:12:50 remz-coop-startfix-20260920 STATE_STAGE players
2026-09-20T21:12:50 remz-coop-startfix-20260920 STATE_STAGE enemies
2026-09-20T21:12:50 remz-coop-startfix-20260920 STATE_STAGE items
2026-09-20T21:12:50 remz-coop-startfix-20260920 STATE_STAGE barricades
2026-09-20T21:12:54 remz-coop-startfix-20260920 STATE_STAGE structures
2026-09-20T21:12:54 remz-coop-startfix-20260920 STATE_STAGE players
2026-09-20T21:12:54 remz-coop-startfix-20260920 STATE_STAGE enemies
2026-09-20T21:12:54 remz-coop-startfix-20260920 STATE_STAGE items
2026-09-20T21:12:54 remz-coop-startfix-20260920 STATE_STAGE barricades
2026-09-20T21:12:55 remz-coop-startfix-20260920 STATE_STAGE structures
2026-09-20T21:12:55 remz-coop-startfix-20260920 STATE_STAGE players
2026-09-20T21:12:55 remz-coop-startfix-20260920 STATE_STAGE enemies
2026-09-20T21:12:55 remz-coop-startfix-20260920 STATE_STAGE items
2026-09-20T21:12:55 remz-coop-startfix-20260920 STATE_STAGE barricades
2026-09-20T21:13:04 remz-coop-startfix-20260920 PEER_DISCONNECTED id=1302926532
2026-09-20T21:13:21 remz-coop-startfix-20260920 PEER_CONNECTED id=109617355
2026-09-20T21:13:23 remz-coop-startfix-20260920 STATE_STAGE structures
2026-09-20T21:13:23 remz-coop-startfix-20260920 STATE_STAGE players
2026-09-20T21:13:23 remz-coop-startfix-20260920 STATE_STAGE enemies
2026-09-20T21:13:23 remz-coop-startfix-20260920 STATE_STAGE items
2026-09-20T21:13:23 remz-coop-startfix-20260920 STATE_STAGE barricades
2026-09-20T21:13:42 remz-coop-startfix-20260920 STATE_RECEIVE parts=6
2026-09-20T21:13:42 remz-coop-startfix-20260920 STATE_APPLY_DONE sequence=863
